name,language,stars
evojax,Jupyter Notebook,925
telluride_decoding,Python,14
font-go,Go,54
java-time-client,Java,18
project-euphonia-audiotool,TypeScript,27
task-oriented-queries,,5
peripheral-customization-pwa,TypeScript,7
protobuf-extensibility-for-burp,Python,88
eventid-js,TypeScript,78
node-h2-auto-push,TypeScript,328
js-green-licenses,TypeScript,181
gasket-driver,C,110
wikiloop-doublecheck,TypeScript,83
data-layer-helper,JavaScript,440
dana,JavaScript,117
accname,TypeScript,34
libhidtelephony,TypeScript,12
incremental-dom,TypeScript,3.5k
pixelate,TypeScript,54
conversion-audit,TypeScript,5
data-quality-monitor,TypeScript,38
product-dsa,Python,12
react-schemaorg,TypeScript,506
android-management-api-samples,Jupyter Notebook,34
creative-screenshots,TypeScript,17
dqm,Python,27
fusion-tables-archive-visualizer,TypeScript,33
nodejs-wiki,JavaScript,17
assortment-quality-for-shopping-ads,Python,8
eleventy-high-performance-blog,JavaScript,4.1k
uafcs,Python,4
vsf-time-series,Python,30
oculi,Jupyter Notebook,63
android-uiconductor,Java,125
tamperchrome,TypeScript,4.2k
gov-meetings-made-searchable,Python,33
patents-public-data,Jupyter Notebook,627
tweakr,JavaScript,26
ngrx-visualizer,TypeScript,23
mweb-analysis-tools,JavaScript,8
fusion-tables-drive-export,TypeScript,7
vscode-zxdb,TypeScript,4
gtasks-md,Python,74
triggerator,TypeScript,11
service-worker-detector,JavaScript,183
cronet-transport-for-okhttp,Java,523
ditto-mocks,Apex,97
gps-measurement-tools,Java,803
stijl,JavaScript,43
schedviz,Go,530
grassland,TypeScript,10
synthesizer-io,Rust,36
eslint-closure,JavaScript,33
intermock,TypeScript,1.2k
mpact-sim-codelabs,C++,4
pybadges,Python,498
uv-metrics,Python,13
caliban,Python,500
verilogpp,Perl,17
t5patches,Python,12
vpn-libraries,C++,554
go-p11-kit,Go,93
ngx_brotli,C,2.2k
psp,C,276
google-sql-syntax-ts,TypeScript,9
fishy-pdf,Python,11
dv360-spend-monitoring-tool,JavaScript,6
diff-match-patch,Python,8k
hi-lassie,Python,24
lassie,Python,53
lkml-gerrit-bridge,Python,7
lecam-gan,Jupyter Notebook,165
prog-edu-assistant,Jupyter Notebook,33
har-sanitizer,Python,73
pre-commit-tool-hooks,Python,38
jsaction,JavaScript,1.1k
deepmac,HTML,5
game-changing-assets,Jupyter Notebook,3
framework-for-osdu,Java,19
hintless_pir,C++,22
jwt_verify_lib,C++,44
prompt-to-prompt,Jupyter Notebook,3.4k
how-unique-is-whose-web-browser,Jupyter Notebook,2
brunsli,C++,745
gapid,Go,2.2k
report2bq,Python,13
brandometer,Python,10
ldif,Python,320
pawn,C++,337
empirical_calibration,Jupyter Notebook,45
shuwa,Python,143
tabletopaudio-action,TypeScript,9
hypernerf,Python,943
importlab,Python,177
ota-generator,Python,24
ai_video_dubbing,Python,50
prefab,Kotlin,229
starthinker,Python,173
golden-path-for-app-delivery,Go,18
ringli,C++,11
oatts,JavaScript,141
web-starter-kit,HTML,18k
nerfies,Python,1.9k
flexbox-layout,Kotlin,18k
cityhash,Shell,1.2k
intellij-gn-plugin,Kotlin,15
safebrowsing,Go,488
AEUX,JavaScript,541
highwayhash,C++,1.6k
amot,Shell,3
licensecheck,Go,484
osdetector-gradle-plugin,Java,116
permhash,Python,44
flaxformer,Python,363
GTXiLib,Objective-C,233
esh,C,331
quota-monitoring-solution,Java,52
common-multicloud-runtime,,0
cmrt,,
coding-with-chrome-libraries,JavaScript,24
macops-MOLXPCConnection,Objective-C,26
macops-MOLAuthenticatingURLSession,Objective-C,23
macops-molcodesignchecker,Objective-C,33
macops-molcertificate,Objective-C,36
example-demos-for-msft-workloads,HCL,16
python-adb,Python,1.8k
cronutils,C,119
dmabuf_importer_helper,C,
flutter-desktop-embedding,C++,7.1k
Accessibility-Test-Framework-for-Android,Java,499
devx-tools,Go,73
php-crc32,PHP,186
step197-2020,Java,4
adb-sync,Python,1.1k
mint-line-follower,Python,3
gps-babel-tower,Python,8
simhospital,Go,717
adiantum,C,477
visionai,Python,47
xsecurelock,C,914
cel-policy-templates-go,Go,73
mawfs,Go,63
distla_core,Python,3
abstracttext,JavaScript,78
mobly-snippet-lib,,42
skywater-pdk-libs-sky130_fd_pr,,28
spdm-accelerator-requirement,,2
longbet,C++,24
dexmod,Python,63
space,Python,155
netbsd-gce,Shell,41
neural-tangents,Jupyter Notebook,2.4k
redgrep,C++,162
binja-hexagon,Python,116
hark,,9
mobly-windows,Python,4
tree-sitter-fidl,C,4
bazel_rules_install,Starlark,43
putting-dune,Python,10
hierarchical-state-machine.dart,Dart,36
casa-android,Kotlin,270
security-crawl-maze,HTML,163
cordova-plugin-browsertab,Java,117
csv2pprof,Go,2
compact_enc_det,C,239
grafika,Java,6.1k
gwtmockito,Java,160
navi,Jupyter Notebook,59
eidos-audition,C++,33
alligator2,Python,42
process-tree,C++,3
hashtable-benchmarks,Jupyter Notebook,111
json5format,Rust,111
gemmlowp,C++,1.8k
play-licensing,Java,118
net_http,C++,25
objax,Python,775
safeopen,Go,105
todo-tracks,Go,185
alertmanager-irc-relay,Go,58
crossmodal-3600,HTML,9
piex,C++,51
pkcs11test,C++,81
ceviche-challenges,Python,114
flutter.plugins,Dart,117
DOM-Tutorials,HTML,16
memutil,Python,3
dsg,HTML,2
zoekt,,1.7k
android-lint-performance-probe,Java,157
break-a-scene,Python,525
kinda-tidy,Python,7
asml,,5
impl_trait_utils,Rust,8
fhir-dbt-utils,Shell,14
project-eager,Jupyter Notebook,21
style-aligned,Python,1.3k
gce-rescue,,14
maldoca,C++,66
microscopeimagequality,Python,91
github-owners-bot,JavaScript,50
valid-avatar-library,ShaderLab,51
sgtm-ga4-to-bigquery,Smarty,27
paco,Objective-C,332
ghost-userspace,C,236
waze-ccp-gcp,Python,11
hadoop-migration-assessment-tools,Java,9
outrigger,JavaScript,4
skywater-pdk-libs-sky130_fd_io,Verilog,11
bamboo-soy,Java,48
web-serial-polyfill,TypeScript,137
typograms,JavaScript,1.3k
network-opt,C++,151
nccl-fastsocket,C++,122
cbortree,Java,25
apdu,Kotlin,8
ic-modeling-python,Python,
ads-account-structure-script,JavaScript,27
deshell,,4
ga4-gtm-migration,JavaScript,119
libtracecmd-rs,Rust,25
EtwToPprof,C#,12
basis_universal,C++,10
sqlcommenter-laravel-php,PHP,7
libtrusttoken,C++,15
go-pkcs11,Go,20
github-release-retry,Python,15
java-photoslibrary,Java,113
vertex-ai-nas,Python,30
storybench,Python,51
metamath.js,JavaScript,15
gae-secure-scaffold-python3,Python,32
analytics-settings-database,Python,57
platform_benchmarks,,17
dynibar,Python,813
process.dart,Dart,52
marzipano,JavaScript,2.2k
multispecies-whale-detection,Python,7
oss-vulnerability-guide,,139
osqp-cpp,C++,277
dwh-assessment-extraction-tool,Java,14
go-metrics-stackdriver,Go,31
magritte,C++,441
mobile-data-download,Java,26
brain_autorl,Python,55
usm-voice-transcriber,,
anonymous-counting-tokens,C++,20
sgtm-event-data-filter,Smarty,24
exposure-notifications-android,Java,529
go-cmdtest,Go,180
custom-bidding-script-builder,JavaScript,11
macops-planb,Objective-C,152
knusperli,C++,469
mouse-pose-analysis,C++,13
TensorNetwork,Python,1.9k
trajax,Python,228
mouse-pose-analysis-dataset,Jupyter Notebook,10
splitbrain,Python,20
globalfoundries-pdk-libs-gf180mcu_fd_pr,Python,54
open-vcdiff,C++,205
vulkan_test_applications,C++,72
ads-placement-excluder,Python,10
wwwbasic,JavaScript,1.1k
model-verifier-in-kotlin,Kotlin,6
parallel_accel,Python,3
sycophancy-intervention,Python,117
cyanobyte,Python,82
cpp-smt-wrapper,C++,4
python_portpicker,Python,152
eclipse2017,Python,21
kepler,Python,38
git-appraise,Go,5.3k
GSCXScanner,Objective-C,138
mdoc-credential,Kotlin,9
video-localized-narratives,HTML,60
gradle-thrift-plugin,Java,9
bulkdozer,JavaScript,12
re2d,D,14
gif-for-cli,Python,2.9k
cronet.dart,Dart,119
allstar-config,,37
certificate-transparency,C++,882
aoss-springboot-sample-starter-project,Shell,8
fhir-examples,C++,112
bevy_skybox_cubemap,Rust,17
cvelist,Python,15
mirror-branch-action,TypeScript,25
lasr,Python,172
speech_intelligibility_index,Python,46
coding-competitions-archive,HTML,1.3k
typedoc-neo-theme,HTML,85
CTAP2-test-tool,C++,56
ui-exp-dg,Dart,14
ukip,Python,546
vscode-bigquery,TypeScript,149
mundane,Rust,1.1k
dart_cli_script,Dart,26
logger,Go,889
flutter-stager,Dart,246
exposure-notifications-verification-server,Go,239
exposure-notifications-server,Go,2.6k
go-intervals,Go,140
segment,Go,10
modernstorage,Kotlin,1.2k
mathsteps,JavaScript,2.1k
postcss-src,TypeScript,4
flutter-sw-rend,C++,10
fuchsiaware,TypeScript,17
app-metadata-encoder,Java,5
macops,Python,827
git-appraise-web,HTML,223
gfbuild-angle,Shell,11
gf-layers,C++,7
acai,Java,79
cdep,Java,100
moveit,Rust,168
java-monitoring-client-library,Java,67
software-product-sprint,Java,65
rejoiner,Java,3.7k
vulkan-performance-layers,C++,58
fss_machine_learning,C++,10
globalfoundries-pdk-libs-gf180mcu_fd_pv,Python,13
pix-image-viewer,Rust,156
receipts-to-riches-part2,C#,
rerast,Rust,715
iap-compute-engine-demo,HCL,13
terraform-google-security-health-checker,HCL,15
malt-example-models,,10
trimmed_match,Python,69
gf180mcu-pdk,Makefile,441
language-jsonnet,,26
appengine-java-migration-samples,Java,
cld3,C++,856
building-secure-and-reliable-systems,HTML,127
vim-jsonnet,Vim Script,161
driblet,Python,19
ormolu,Haskell,13
android-classyshark,Java,7.6k
skywater-pdk-libs-sky130_bag3_pr,Python,18
forma,Rust,2.6k
centipede,,252
securemessage,C++,109
groupavail,JavaScript,11
sky90fd-pdk,,121
tsmok,Python,16
flutter-stream-extensions,Dart,17
belief-localization,,61
globalfoundries-pdk-libs-gf180mcu_osu_sc,,8
skywater-pdk-sky130-raw-data,Jupyter Notebook,58
receipts-to-riches-part1,C#,5
v8-snapshot-ghidra-plugin,Java,11
nerfactor,Python,449
elements-sk,HTML,29
common-sk,TypeScript,10
lk_onload_stub,C,8
liquidfun,C++,4.9k
data-pills,Jupyter Notebook,16
guetzli,C++,13k
chat-enhanced,JavaScript,9
archive-patcher,Java,540
product_return_predictor,Python,16
rust-deadlock-avoidance,Rust,43
digitalassetlinks,PureBasic,103
tsunami-security-scanner-testbed,Go,9
vandalir,LLVM,42
adh-deployment-manager,Python,5
lisp-koans,Common Lisp,3.2k
.allstar,,8
ci_edit,Python,228
go-pipeline,Go,100
globalfoundries-pdk-ip-gf180mcu_fd_ip_sram,Verilog,18
lasso,JavaScript,29
webbundle,Rust,101
haskell-trainings,Haskell,1.4k
EXEgesis,C++,281
earthengine-jupyter,Jupyter Notebook,82
bigspicy,Python,40
PINT,C,18
re2-wasm,TypeScript,75
rtb_creative_filtering_report,TypeScript,4
aistplusplus_api,Python,380
watchpresenter,Java,24
budou,Python,1.2k
end-to-end,JavaScript,4.1k
ipaddr-py,Python,195
gce-machine-type-recommendations,JavaScript,6
libsbc,C,24
hdrnet,Python,851
gke-cloud-dns-tls,Python,15
usd_from_gltf,C++,572
volux-gan,Python,29
rust-design-faq,,18
JacquardSDKiOS,Swift,21
tfjs-mnist-workshop,Jupyter Notebook,7
mentornet,Python,323
next-prediction,Python,356
JacquardSDKAndroid,Java,20
python-temescal,Python,24
pik,C++,834
TrustScore,Jupyter Notebook,177
python-security-manager,Python,36
memcpy-gemm,C++,16
vertex-ai-benchmarker,Java,10
easypki,Go,593
vim-maktaba,Vim Script,589
polynomial-practice,HTML,5
HyperCompressBench,Python,17
profiling-data-processing-model-isca23-ae,Python,9
monologue,Go,40
support-case-notifications,Shell,12
ml-fairness-gym,Python,316
dreambooth,,998
tekton-slsa-demo,Shell,9
mathfu,C++,1.4k
draft-todo-chariton-dns-account-01,Dockerfile,4
omnimatte-sp,Python,11
samurai,Python,121
grpc-java-bazel-minimal,Java,8
monster-mash,C++,1.3k
skywater-pdk-libs-sky130_fd_sc_hd,Verilog,18
huproxy,Go,422
pageloader,Dart,40
gumbo-parser,HTML,5.2k
greasy,Shell,6
vim-ft-go,Vim Script,54
baby-alligator,JavaScript,3
copr-sundry,Shell,14
cloud-resource-manager,Shell,22
pub_cache,Dart,18
sa360-webquery-bigquery,Java,16
ndprbrd,C++,39
google-id-token,Ruby,75
cast-moderator-centipede,C++,10
floody,Java,3
functional-objc,Objective-C,350
sealedcomputing,C++,8
ngx_token_binding,C,45
iosched,Kotlin,22k
earthenterprise,C++,2.7k
anthos-microk8s,HCL,30
saka,Python,6
subpar,Python,568
device-access-sample-web-app,JavaScript,34
vim-glaive,Vim Script,77
virtual-authenticators-tab,JavaScript,179
active-learning,Python,1.2k
globalfoundries-pdk-libs-gf180mcu_fd_sc_mcu9t5v0,Verilog,18
globalfoundries-pdk-libs-gf180mcu_fd_io,Verilog,14
globalfoundries-pdk-libs-gf180mcu_fd_sc_mcu7t5v0,Verilog,26
attention-center,Python,121
backup-dr-custom-roles,Shell,4
profit-bidder,Shell,3
chartjs.dart,Dart,143
vim-colorscheme-primary,Vim Script,268
google-drive-dokany,C,33
charts,Dart,2.8k
ubntools,Go,18
FluidNet,Lua,755
gofuzz,Go,1.5k
minetest_pnr,Rust,18
auto-disposable,Dart,14
tuneup.dart,Dart,52
flutter_minimal_store,Dart,23
jax-recommenders,Python,11
plb,,25
randomized-graphics-shaders,GLSL,7
sshkey-audit,Go,66
chive-varying-prosody-icml-2019,HTML,7
processingjs-ide,JavaScript,22
applied-data-structures-algorithms,Jupyter Notebook,26
referring-manipulation,Python,9
cpu-check,C++,61
repository-lifecycle,Dart,10
flutter_async_storage,Dart,15
beautiful-audio-editor,JavaScript,93
deepdream,,13k
peg-typed,Kotlin,4
nanolibc,C,12
blockly-devtools,JavaScript,60
mipnerf,Python,933
decoder-benchmarks-for-rust,Rust,5
asset-inventory-worksheet,Python,9
creatine-ads-inspector,Java,10
mysql-protobuf,C++,131
qrisp,C++,11
safe-html-types,Java,60
ios-device-control,Java,43
liburing_cpp,C++,17
nogotofail,Python,2.9k
tangent,Python,2.3k
libsxg,C,54
calliope-paper-robot,,10
zuckerli,C++,28
transitfeed,Python,690
roughtime,,11
fplbase,C++,198
skywater-pdks,,8
hilbert,Go,286
mcp2221-rs,Rust,7
mirandum,Python,12
vim-coverage,Vim Script,104
dart-json_diff,Dart,74
mystyle,Python,129
web-bsd-hunt,Go,36
vk_callback_swapchain,C++,9
butteraugli,C++,2k
spirv-tutor,Shell,78
stm32-bootloader-client-rs,Rust,13
gfw-deployments,Python,78
coop-analytics,Python,10
fledge-key-value-server,,3
ms-tpm-20-ref,C,4
libprotobuf-mutator-asn1,C++,19
open-source-pdks,,108
magic-github-proxy,Python,149
codeu-starter-project,Java,12
codeu_project_2018,Java,12
u2f-ref-code,JavaScript,588
google-drive-proxy,C#,87
google-drive-shell-extension,C++,159
chive-prosody,HTML,5
cross-device-sdk,Kotlin,98
schemaorg-java,Java,75
crumsort-rs,Rust,168
plusfish,C++,28
sqlcommenter-php,PHP,9
connectedappssdk,Java,9
go-cabfile,Go,9
GCP-deployment-scripts-for-PI-Core,PowerShell,8
WebFundamentals,JavaScript,14k
go-flow-levee,Go,194
chiplets-cost-model,Python,24
chatbase-python,Python,76
kiosk-app-reference-implementation,Kotlin,17
ai-weather-climate,Python,17
viai-sdk,Python,7
skywater-pdk-ip-sky90fd_fd_ip_sram,,9
skywater-pdk-libs-sky90fd_fd_io,,4
skywater-pdk-libs-sky90fd_fd_pr,,6
skywater-pdk-libs-sky90fd_fd_sc,,5
skywater-pdk-libs-sky90fd_osu_sc,,4
one-weird-trick,Jupyter Notebook,15
pmax_migration,Python,4
stable-retraining-conversational-agents,,2
go-pcie-tlp,Go,42
globalfoundries-pdks,,50
globalfoundries-pdk-libs-gf180mcu_fd_bd_sram,,10
HyperProtoBench,C++,18
live-transcribe-speech-engine,Java,1.5k
sxg-validator,JavaScript,4
rappor,R,869
bazel-to-cmake,Python,204
e3d_lstm,Python,205
santa-tracker-android,Java,2.1k
log4jscanner,Go,1.6k
zoom-to-inpaint,Python,21
chrometracing,Go,45
DAPLink-port,C,18
causalexpanalysis,R,20
poweranalysis,R,8
MOE,Java,422
tritious,JavaScript,7
dcm-trix-addon,JavaScript,12
argtail-check,Go,7
squidwarden,Go,60
qhbm-library,Python,43
BEGIN-dataset,,39
randen,C++,337
tock-on-titan,Rust,56
makerspace-lipo-charger,Makefile,9
ion,C++,1.4k
makerspace-partsbin,Python,17
import-mailbox-to-gmail,Python,346
tf_mesh_renderer,Python,497
ctfscoreboard,Python,171
cocoapods-size,Python,237
cluster-scheduler-simulator,Scala,170
dokka,Kotlin,16
etc2comp,C++,387
periph,Go,1.7k
tensorflow-recorder,Python,180
hotel-ads-etl-tool,Python,9
budget-protector,JavaScript,5
jsontoken,Java,18
infra-structured-map,Java,8
martian-java,Java,12
i18n_sanitycheck,Java,14
nel-reporter-java,Java,15
gtm-currency-rates-sync,JavaScript,14
embed-dart-vm,C++,99
Kotlin-FirViewer,Kotlin,51
cwisstable,C++,158
swift-jupyter,Python,623
bongo,Rust,23
gfbuild-shadertrap,Shell,3
google-my-business-samples,Python,133
swift-benchmark,Swift,936
tmppy,Python,34
radium,HTML,9
libcppbor,C++,8
AndroidForegroundCompat,Java,65
airdialogue,Python,45
aistreamer,C++,150
skywater-pdk-libs-sky130_fd_pr_reram,,41
sample-sql-translator,Python,52
gfbuild-SPIRV-Tools,Shell,11
vapso,JavaScript,5
llvm-bazel,Starlark,170
asylo,C++,980
knative-gcp,Go,161
fractribution,Python,56
github_actions_playground,Python,8
nanopb-cpputest-comparators,C++,4
tweakr-codelab,Kotlin,
where-am-i,Kotlin,37
responsible-innovation,Jupyter Notebook,9
blockbuster,Python,5
ekep-analysis,Shell,8
android-gradle-dsl,HTML,785
gitiles,Java,603
security-annotation-tools,Kotlin,7
rfmt,Python,86
java-run,Java,5
quiver-log,Dart,24
hardware-perfcounter,C,93
gfbuild-graphicsfuzz,Shell,7
dv360_feature_adoption,JavaScript,6
cortex-demos,C++,12
universal-dash-transmuxer,C++,55
physics-math-tutorials,Jupyter Notebook,10
longt5,,2
gcb-tools,Go,5
scrollytell,TypeScript,64
wide_bnn_sampling,Python,7
dynamic-video-depth,Python,270
gnostic-go-generator,Go,49
IdleWakeups,C#,10
java-video-live-stream,Shell,3
depan,Java,91
disapproved-ads-auditor,Python,18
hs-ten,Haskell,4
hs-portray,Haskell,6
dtraceStacksToPprof,Go,6
grumpy,Go,11k
web-prototyping-tool,TypeScript,29
rust-async-coap,Rust,50
agera,Java,7.2k
html-quiz,JavaScript,114
fledge-shim,TypeScript,23
rainbow,C++,6
secret-manager-with-sendgrid,Python,10
standard-payments,,5
vulncode-db,Python,577
ktsan,,569
inspectorspacetime,JavaScript,175
bi-tempered-loss,Python,147
go-cpy,Go,43
exists-ref,Rust,4
nucleus,C++,796
crclib.dart,Dart,23
overcoming-conflicting-data,,4
pezl,Go,6
aiyprojects-raspbian,Python,1.7k
cuckoo-index,C++,129
goexpect,Go,758
observable,Dart,60
mechahamster,C#,509
REAPER,C++,407
ghost-dataplane,C++,9
music-synthesizer-for-android,Jupyter Notebook,434
ga-serverless-streaming,Python,14
pyaedj,Python,9
structured_labels,Python,5
svcca,Jupyter Notebook,639
orthotope,Haskell,11
ezgantt,JavaScript,102
videotts,JavaScript,3
hs-dependent-literals,Haskell,4
floodlight-audit,JavaScript,11
nginx-sxg-module,C,83
climb-tracker,Java,33
hs-numeric-logarithms,Haskell,3
hs-collate,Haskell,3
hs-batching,Haskell,3
hs-fin-vec,Haskell,3
hs-niche-containers,Haskell,3
hs-attenuation,Haskell,3
hs-wrapped,Haskell,3
closure-stylesheets,Java,315
cloudprober,Go,1.4k
h2e_technical_documentation,,467
integers,C++,188
makani,C++,1.2k
youtube-8m,Python,2.4k
amt-forensics,Python,49
healthcare-text-annotation,,43
PS3ControllerAutoSleep,AppleScript,11
skywater-pdk-libs-sky130_fd_bd_sram,,22
paragraph,C++,14
private-retrieval,Java,41
google-visualization-python,Python,135
flutter_flux,Dart,376
go-pbmoney,Go,38
farmhash,C++,644
actions-on-google-template-sdk,,14
startup-os,Java,687
phoneme-aligned-graphemes-in-tts,HTML,4
RED,MATLAB,116
segy-stack,C++,27
php-photoslibrary,PHP,92
xsecurelock-saver-rs,Rust,14
floq-client,Python,19
upvote_py2,Python,452
gomemcache,Go,22
autocjk,Python,13
exposure-notifications-internals,Java,139
gfbuild-amber,Shell,5
lexical-masks,Python,8
mimosa,C++,21
aistplusplus_dataset,JavaScript,16
gfbuild-glslang,Shell,7
android-cuttlefish-authentication,Python,4
language-resources,C++,386
infact,C++,74
localized-narratives,HTML,86
platforms-bios-buildenv,Dockerfile,6
x509test,Python,43
percy-node,JavaScript,19
web_notifications.dart,Dart,13
LLpatch,C++,37
compare-codecs,Python,50
certificate-transparency-rfcs,Python,80
librato.dart,Dart,5
kasane,Python,172
cloud-print-connector,Go,765
gcm,Java,823
schism,Scheme,1.3k
concourse-resources,Go,29
gtm-oauth2,Objective-C,127
traceout,Go,19
go-patchutils,Go,26
disable-keyboard-shortcuts,Makefile,35
aiyprojects-raspbian-tools,Python,12
explaining-in-style,Jupyter Notebook,223
fuzzer-test-suite,C,1.5k
vulkan-pre-rotation-demo,C++,24
gfbuild-llpc,Shell,7
intellij-kotlin,Kotlin,4
emu-control,Go,7
deluca-lung,Python,5
ehr-predictions,Python,107
aichoreographer,HTML,20
makerfaire-booth,Python,14
lovefield,JavaScript,6.8k
testimony,Go,108
vim-selector,Vim Script,17
cpp-proto-builder,C++,4
open-chiplet,,27
trusted-worklet-server,C++,4
trusted-key-value-server,C++,3
prediction_framework,Python,43
deluca-igpc,Jupyter Notebook,7
cssi-labs,HTML,34
stenographer,Go,1.8k
usb-cereal,HTML,92
rtb_troubleshooting_connector,JavaScript,2
nsc-tutorial,Jupyter Notebook,4
hrepl,Haskell,49
dv-3po,JavaScript,5
CSP-Validator,Python,27
gsrsup,C++,5
AFL,C,4k
keytransparency,Go,1.6k
gitprotocolio,Go,400
libpam-policycache,C,34
pikov,Jupyter Notebook,17
federated-ml-health,Jupyter Notebook,14
rich-test-results,Java,55
neural-light-transport,Python,277
codeu_project_2017,Java,98
gfbuild-swiftshader,Shell,9
python-cloud-utils,Python,23
domaintest,Java,71
mysteryofthreebots,TypeScript,44
dnae,Python,9
last-fm-dashboard,JavaScript,16
guice-aqueduct,Java,11
hana-bq-beam-connector,,6
stress_transfer,Python,8
arithmancer,Python,63
contentbox,CSS,35
maps-for-work-samples,,140
java-sourcetools,Java,8
gwteventbinder,Java,141
usbinfo,Python,40
flutter-provide,Dart,804
closure-builder,JavaScript,65
dv360-api,JavaScript,36
resumable-assert,C,176
auction-insights-visualization,JavaScript,17
asylo-site,HTML,22
asylo-examples,C++,23
shenzhen-go,JavaScript,464
dv360-automation,Jupyter Notebook,20
swiftlogfirecloud,Swift,18
bband-adaband,MATLAB,18
skywater-pdk-actions,Python,13
openssl-tests,Makefile,14
hover,Java,2.6k
opensmartbutton,C,6
talos-dv360,JavaScript,5
hammer-kit,C,78
devsite-template,,3
mosaic,Rust,17
tcpauth,C,100
recog,JavaScript,5
transperf,Python,210
rescue-tools-reiserfs,Python,5
localsubnetsetd,Python,6
experience-accessibility,Java,25
ihmehimmeli,C++,144
kube-node-tracer,Shell,9
fidi,C++,10
proto-quic,,1.2k
transmat,TypeScript,507
git-presubmit-linter,Shell,41
pyvisionproductsearch,Python,9
blueprint,Go,352
mysql-ripple,C++,377
skywater-pdk-libs-sky130_fd_sc_hdll,Verilog,7
skywater-pdk-libs-sky130_fd_sc_hs,Verilog,5
skywater-pdk-libs-sky130_fd_sc_hvl,Verilog,4
skywater-pdk-libs-sky130_fd_sc_ls,Verilog,5
skywater-pdk-libs-sky130_fd_sc_ms,Verilog,5
skywater-pdk-libs-sky130_fd_sc_lp,Verilog,8
coapblaster,Java,39
formal-ml,Lean,25
cabal2bazel,Starlark,42
ffcc,MATLAB,217
retriever_parsing,Python,9
custom-tab-groups,JavaScript,4
prog-edu-assistant-quizzes,Jupyter Notebook,6
pygtrie,Python,824
pcbdl,Python,182
look-before-you-speak,HTML,5
applied-machine-learning-intensive,Jupyter Notebook,150
tirg,Python,304
autobidding-readiness-monitor,Python,9
merror,C++,6
actions-on-google-flashcards-template-sdk,JavaScript,9
actions-on-google-trivia-template-sdk,JavaScript,18
splot-java,Java,16
hotel-booking-api-validator,Go,19
googlesource-auth-tools,Go,17
starlark-rust,,193
protodatastore-cpp,C++,5
dspl,Python,63
pinject,Python,1.3k
wasserstein-dist,Python,73
dotty,Python,49
go-pcie-screamer,Go,30
sge-monorepo,Go,72
http_pattern_matcher,C++,5
brailleback,Java,33
hubvantage,JavaScript,6
example_extrapolation,Python,9
security-research-pocs,C++,1.9k
ga360-bqml-toolkit,Jupyter Notebook,8
pytruth,Python,159
android-emulator-m1-preview,,1.9k
nitroml,Jupyter Notebook,43
perforce-utils,Shell,9
arrow-logo,Dart,15
stm32_bare_lib,C,133
usbmon,C,61
timecast,Python,16
tcav-for-ehr,Python,6
dicomproxy,Java,7
idaidle,CMake,31
forklift,JavaScript,10
ftc-object-detection,C++,43
containerregistry,Python,212
open-location-code-swift,Swift,49
midi-dump-tools,C,30
sky-optimization,,56
image-supplemental-feed-creator,Python,3
compare_gan,Python,1.8k
zeroshell-linode,Shell,14
apis-client-generator,Python,162
gae-secure-scaffold-python,Python,111
dart-gl,C++,92
network-mapper,,52
mako,C++,57
sling,C++,1.9k
tie,JavaScript,361
citest,Python,60
spindle-dv360,Python,13
canvas-5-polyfill,JavaScript,192
trueview-sdf-generator,JavaScript,5
mannequinchallenge,Python,496
skicka,Go,1.3k
cauliflowervest,Python,278
vsaq,JavaScript,856
StrawNet,HTML,4
retiming,Python,176
aistreams,C++,7
safeside,C++,505
blockly-ios,Swift,409
open-gantry,CSS,10
swift,,836
coursebuilder-core,Python,147
hypebot,Python,16
python-lakeside,Python,47
path-auditor,C++,252
xscreensaver-dbus,Haskell,4
tim-gan,Python,12
swift-structural,Swift,33
spherical-harmonics,C++,552
spatiotemporal-graphnn-tf,Jupyter Notebook,6
reftable,C,37
google-reauth-python,Python,12
vogon,JavaScript,108
automl-video-ondevice,Python,54
gulava,Java,45
analytics-audience-automation-tool,JavaScript,8
gxui,Go,4.4k
python-laurel,Python,60
nvidia_libs_test,C++,53
breadboard,C++,120
xssxss,C,3
vc-defer,Emacs Lisp,14
device-access-codelab-web-app,JavaScript,12
firing-range,Java,1.4k
CTAP2-test-tool-corpus,,7
portrait-shadow-manipulation,Jupyter Notebook,302
google-api-java-client-samples,Java,741
libprio-cc,C++,8
favcolor-server,Ruby,8
wmt19-paraphrased-references,,15
speed-opportunity-finder,Python,10
kilt,Go,12
context-expression-nature-study,MATLAB,19
modem,Jupyter Notebook,41
roman-word-bubbling,CSS,6
ct-hackday-schwag,Go,12
p4-pdpi,C++,16
angular-a11y-workshop,TypeScript,9
angular_cli,Dart,63
binnavi,Java,2.9k
vkb,CMake,10
cluster-scoped-cicd,Makefile,10
autol2,Python,7
ssl_logger,Python,1.1k
rekall-profiles,HTML,100
rekall,Python,2k
seq2seq,Python,5.6k
inject.dart,Dart,867
tinkCryptoHelper,Java,6
in-silico-labeling,Python,262
berrydb,C++,66
android-arscblamer,Java,946
render-timing-for-unity,C++,167
tcp_killer,Python,214
supersonic,C++,207
files.dart,Dart,21
region-flags,HTML,210
it-cert-automation,Python,18
fhir-ml,,3
it-cert-automation-project,Python,22
jws,Python,61
ruby-openid-apps-discovery,Ruby,38
x,,4
orchestra,Python,51
gke-auditor,Java,74
google-authenticator,Java,5.3k
